Simulation: 40 	 ['00.70', '01.60', '00.11', '00.30', '00.70', '01.51', '04.00'] 	 rmspe: 0.1445 	 ks = 0.35 	 p_value = 0.000
Simulation: 41 	 ['00.20', '01.60', '00.06', '00.30', '00.40', '04.01', '04.00'] 	 rmspe: 0.0955 	 ks = 0.26 	 p_value = 0.000
Simulation: 42 	 ['00.70', '02.20', '00.06', '00.05', '00.70', '04.01', '01.00'] 	 rmspe: 0.4682 	 ks = 0.78 	 p_value = 0.000
Simulation: 43 	 ['00.70', '01.60', '00.11', '00.45', '00.70', '00.51', '01.00'] 	 rmspe: 0.0954 	 ks = 0.29 	 p_value = 0.000

Generation 1: Best Solution = ['00.70', '01.60', '00.11', '00.45', '00.70', '00.51', '01.00'], Fitness = 10.48, RMSPE =0.0954
Simulation: 44 	 ['00.70', '01.60', '00.11', '00.45', '00.70', '02.51', '01.00'] 	 rmspe: 0.3224 	 ks = 0.64 	 p_value = 0.000
Simulation: 45 	 ['00.70', '01.60', '00.46', '00.45', '00.70', '00.51', '01.00'] 	 rmspe: 0.1164 	 ks = 0.35 	 p_value = 0.000
Simulation: 46 	 ['01.80', '01.60', '00.11', '00.45', '00.70', '00.51', '01.00'] 	 rmspe: 0.1693 	 ks = 0.46 	 p_value = 0.000
Simulation: 47 	 ['00.70', '01.60', '00.11', '00.45', '00.40', '00.51', '01.00'] 	 rmspe: 0.0916 	 ks = 0.29 	 p_value = 0.000
Simulation: 48 	 ['00.70', '01.60', '00.11', '00.45', '00.60', '00.51', '01.00'] 	 rmspe: 0.0949 	 ks = 0.29 	 p_value = 0.000
Simulation: 49 	 ['00.70', '01.60', '00.11', '00.35', '00.70', '00.51', '01.00'] 	 rmspe: 0.0945 	 ks = 0.28 	 p_value = 0.000
Simulation: 50 	 ['00.70', '01.60', '00.11', '00.30', '00.70', '00.51', '01.00'] 	 rmspe: 0.0974 	 ks = 0.29 	 p_value = 0.000
Simulation: 51 	 ['00.20', '01.60', '00.11', '00.45', '00.70', '00.51', '01.00'] 	 rmspe: 0.0700 	 ks = 0.19 	 p_value = 0.000
Simulation: 52 	 ['00.90', '01.60', '00.11', '00.45', '00.70', '00.51', '01.00'] 	 rmspe: 0.1038 	 ks = 0.31 	 p_value = 0.000
Simulation: 53 	 ['01.50', '01.60', '00.11', '00.45', '00.70', '00.51', '01.00'] 	 rmspe: 0.1500 	 ks = 0.41 	 p_value = 0.000
Simulation: 54 	 ['00.70', '01.60', '00.11', '00.45', '00.15', '00.51', '01.00'] 	 rmspe: 0.0894 	 ks = 0.30 	 p_value = 0.000
Simulation: 55 	 ['00.70', '01.60', '00.11', '00.20', '00.70', '00.51', '01.00'] 	 rmspe: 0.0973 	 ks = 0.30 	 p_value = 0.000
Simulation: 56 	 ['00.70', '01.60', '00.11', '00.45', '00.70', '02.51', '01.00'] 	 rmspe: 0.3224 	 ks = 0.64 	 p_value = 0.000
Simulation: 57 	 ['00.70', '01.60', '00.46', '00.45', '00.70', '00.51', '01.00'] 	 rmspe: 0.1164 	 ks = 0.35 	 p_value = 0.000
Simulation: 58 	 ['01.80', '01.60', '00.11', '00.45', '00.70', '00.51', '01.00'] 	 rmspe: 0.1693 	 ks = 0.46 	 p_value = 0.000
Simulation: 59 	 ['00.70', '01.60', '00.11', '00.45', '00.40', '00.51', '01.00'] 	 rmspe: 0.0916 	 ks = 0.29 	 p_value = 0.000
Simulation: 60 	 ['00.70', '01.60', '00.11', '00.45', '00.60', '00.51', '01.00'] 	 rmspe: 0.0949 	 ks = 0.29 	 p_value = 0.000
Simulation: 61 	 ['00.70', '01.60', '00.11', '00.35', '00.70', '00.51', '01.00'] 	 rmspe: 0.0945 	 ks = 0.28 	 p_value = 0.000
Simulation: 62 	 ['00.70', '01.60', '00.11', '00.30', '00.70', '00.51', '01.00'] 	 rmspe: 0.0974 	 ks = 0.29 	 p_value = 0.000
Simulation: 63 	 ['00.20', '01.60', '00.11', '00.45', '00.70', '00.51', '01.00'] 	 rmspe: 0.0700 	 ks = 0.19 	 p_value = 0.000
Simulation: 64 	 ['00.90', '01.60', '00.11', '00.45', '00.70', '00.51', '01.00'] 	 rmspe: 0.1038 	 ks = 0.31 	 p_value = 0.000
Simulation: 65 	 ['01.50', '01.60', '00.11', '00.45', '00.70', '00.51', '01.00'] 	 rmspe: 0.1500 	 ks = 0.41 	 p_value = 0.000
Simulation: 66 	 ['00.70', '01.60', '00.11', '00.45', '00.15', '00.51', '01.00'] 	 rmspe: 0.0894 	 ks = 0.30 	 p_value = 0.000
Simulation: 67 	 ['00.70', '01.60', '00.11', '00.20', '00.70', '00.51', '01.00'] 	 rmspe: 0.0973 	 ks = 0.30 	 p_value = 0.000

Generation 2: Best Solution = ['00.20', '01.60', '00.11', '00.45', '00.70', '00.51', '01.00'], Fitness = 14.29, RMSPE =0.0700
Simulation: 68 	 ['00.70', '01.60', '00.11', '00.25', '00.70', '00.51', '01.00'] 	 rmspe: 0.0989 	 ks = 0.30 	 p_value = 0.000
Simulation: 69 	 ['00.70', '01.60', '00.11', '00.45', '00.40', '03.01', '01.00'] 	 rmspe: 0.2248 	 ks = 0.48 	 p_value = 0.000
Simulation: 70 	 ['00.70', '01.60', '00.11', '00.10', '00.70', '00.51', '01.00'] 	 rmspe: 0.0994 	 ks = 0.30 	 p_value = 0.000
Simulation: 71 	 ['00.60', '01.60', '00.11', '00.45', '00.70', '00.51', '01.00'] 	 rmspe: 0.0886 	 ks = 0.28 	 p_value = 0.000
Simulation: 72 	 ['00.70', '01.80', '00.11', '00.35', '00.40', '00.51', '01.00'] 	 rmspe: 0.0952 	 ks = 0.30 	 p_value = 0.000
Simulation: 73 	 ['00.70', '01.60', '00.11', '00.45', '00.00', '00.51', '01.00'] 	 rmspe: 0.0962 	 ks = 0.31 	 p_value = 0.000
Simulation: 74 	 ['00.70', '01.60', '00.11', '00.25', '00.70', '00.51', '01.00'] 	 rmspe: 0.0989 	 ks = 0.30 	 p_value = 0.000
Simulation: 75 	 ['00.70', '01.60', '00.11', '00.35', '00.30', '00.51', '01.00'] 	 rmspe: 0.0908 	 ks = 0.29 	 p_value = 0.000
Simulation: 76 	 ['00.70', '00.60', '00.11', '00.45', '00.40', '00.51', '01.00'] 	 rmspe: 0.0804 	 ks = 0.24 	 p_value = 0.000
Simulation: 77 	 ['00.70', '01.60', '00.11', '00.35', '00.00', '00.51', '01.00'] 	 rmspe: 0.1026 	 ks = 0.33 	 p_value = 0.000
Simulation: 78 	 ['01.10', '01.60', '00.11', '00.45', '00.40', '00.51', '01.00'] 	 rmspe: 0.1137 	 ks = 0.35 	 p_value = 0.000
Simulation: 79 	 ['01.10', '01.60', '00.11', '00.45', '00.70', '00.51', '01.00'] 	 rmspe: 0.1216 	 ks = 0.35 	 p_value = 0.000
Simulation: 80 	 ['00.70', '01.60', '00.11', '00.25', '00.70', '00.51', '01.00'] 	 rmspe: 0.0989 	 ks = 0.30 	 p_value = 0.000
Simulation: 81 	 ['00.70', '01.60', '00.11', '00.45', '00.40', '03.01', '01.00'] 	 rmspe: 0.2248 	 ks = 0.48 	 p_value = 0.000
Simulation: 82 	 ['00.70', '01.60', '00.11', '00.10', '00.70', '00.51', '01.00'] 	 rmspe: 0.0994 	 ks = 0.30 	 p_value = 0.000
Simulation: 83 	 ['00.60', '01.60', '00.11', '00.45', '00.70', '00.51', '01.00'] 	 rmspe: 0.0886 	 ks = 0.28 	 p_value = 0.000
Simulation: 84 	 ['00.70', '01.80', '00.11', '00.35', '00.40', '00.51', '01.00'] 	 rmspe: 0.0952 	 ks = 0.30 	 p_value = 0.000
Simulation: 85 	 ['00.70', '01.60', '00.11', '00.45', '00.00', '00.51', '01.00'] 	 rmspe: 0.0962 	 ks = 0.31 	 p_value = 0.000
Simulation: 86 	 ['00.70', '01.60', '00.11', '00.25', '00.70', '00.51', '01.00'] 	 rmspe: 0.0989 	 ks = 0.30 	 p_value = 0.000
Simulation: 87 	 ['00.70', '01.60', '00.11', '00.35', '00.30', '00.51', '01.00'] 	 rmspe: 0.0908 	 ks = 0.29 	 p_value = 0.000
Simulation: 88 	 ['00.70', '00.60', '00.11', '00.45', '00.40', '00.51', '01.00'] 	 rmspe: 0.0804 	 ks = 0.24 	 p_value = 0.000
Simulation: 89 	 ['00.70', '01.60', '00.11', '00.35', '00.00', '00.51', '01.00'] 	 rmspe: 0.1026 	 ks = 0.33 	 p_value = 0.000
Simulation: 90 	 ['01.10', '01.60', '00.11', '00.45', '00.40', '00.51', '01.00'] 	 rmspe: 0.1137 	 ks = 0.35 	 p_value = 0.000
Simulation: 91 	 ['01.10', '01.60', '00.11', '00.45', '00.70', '00.51', '01.00'] 	 rmspe: 0.1216 	 ks = 0.35 	 p_value = 0.000

Generation 3: Best Solution = ['00.20', '01.60', '00.11', '00.45', '00.70', '00.51', '01.00'], Fitness = 14.29, RMSPE =0.0700
Simulation: 92 	 ['00.70', '01.60', '00.11', '00.45', '00.70', '00.51', '01.00'] 	 rmspe: 0.0954 	 ks = 0.29 	 p_value = 0.000
Simulation: 93 	 ['00.70', '00.60', '00.21', '00.45', '00.70', '00.51', '01.00'] 	 rmspe: 0.0923 	 ks = 0.27 	 p_value = 0.000
Simulation: 94 	 ['00.70', '02.40', '00.11', '00.45', '00.40', '00.51', '01.00'] 	 rmspe: 0.0968 	 ks = 0.30 	 p_value = 0.000
Simulation: 95 	 ['00.20', '00.60', '00.46', '00.45', '00.70', '00.51', '01.00'] 	 rmspe: 0.0730 	 ks = 0.18 	 p_value = 0.000
Simulation: 96 	 ['00.20', '01.60', '00.11', '00.45', '00.70', '00.01', '01.00'] 	 rmspe: 0.0688 	 ks = 0.18 	 p_value = 0.000
Simulation: 97 	 ['00.70', '00.60', '00.11', '00.05', '00.40', '00.51', '01.00'] 	 rmspe: 0.0853 	 ks = 0.25 	 p_value = 0.000
Simulation: 98 	 ['00.80', '00.60', '00.11', '00.45', '00.40', '00.51', '01.00'] 	 rmspe: 0.0850 	 ks = 0.26 	 p_value = 0.000
Simulation: 99 	 ['00.20', '00.60', '00.11', '00.40', '00.70', '00.51', '01.00'] 	 rmspe: 0.0693 	 ks = 0.17 	 p_value = 0.000
Simulation: 100 	 ['00.70', '00.60', '00.11', '00.45', '00.15', '00.51', '01.00'] 	 rmspe: 0.0747 	 ks = 0.22 	 p_value = 0.000
Simulation: 101 	 ['00.60', '00.60', '00.11', '00.45', '00.40', '00.51', '01.00'] 	 rmspe: 0.0767 	 ks = 0.23 	 p_value = 0.000
Simulation: 102 	 ['00.80', '00.60', '00.11', '00.45', '00.70', '00.51', '01.00'] 	 rmspe: 0.0948 	 ks = 0.29 	 p_value = 0.000
Simulation: 103 	 ['00.70', '00.60', '00.01', '00.45', '00.40', '00.51', '01.00'] 	 rmspe: 0.1058 	 ks = 0.33 	 p_value = 0.000
Simulation: 104 	 ['00.70', '00.60', '00.06', '00.45', '00.40', '00.51', '01.00'] 	 rmspe: 0.0865 	 ks = 0.27 	 p_value = 0.000
Simulation: 105 	 ['01.60', '00.60', '00.11', '00.45', '00.70', '00.51', '01.00'] 	 rmspe: 0.1484 	 ks = 0.41 	 p_value = 0.000
Simulation: 106 	 ['00.70', '01.60', '00.11', '00.45', '00.70', '00.51', '01.00'] 	 rmspe: 0.0954 	 ks = 0.29 	 p_value = 0.000
Simulation: 107 	 ['00.70', '00.60', '00.21', '00.45', '00.70', '00.51', '01.00'] 	 rmspe: 0.0923 	 ks = 0.27 	 p_value = 0.000
Simulation: 108 	 ['00.70', '02.40', '00.11', '00.45', '00.40', '00.51', '01.00'] 	 rmspe: 0.0968 	 ks = 0.30 	 p_value = 0.000
Simulation: 109 	 ['00.20', '00.60', '00.46', '00.45', '00.70', '00.51', '01.00'] 	 rmspe: 0.0730 	 ks = 0.18 	 p_value = 0.000
Simulation: 110 	 ['00.20', '01.60', '00.11', '00.45', '00.70', '00.01', '01.00'] 	 rmspe: 0.0688 	 ks = 0.18 	 p_value = 0.000
Simulation: 111 	 ['00.70', '00.60', '00.11', '00.05', '00.40', '00.51', '01.00'] 	 rmspe: 0.0853 	 ks = 0.25 	 p_value = 0.000
Simulation: 112 	 ['00.80', '00.60', '00.11', '00.45', '00.40', '00.51', '01.00'] 	 rmspe: 0.0850 	 ks = 0.26 	 p_value = 0.000
Simulation: 113 	 ['00.20', '00.60', '00.11', '00.40', '00.70', '00.51', '01.00'] 	 rmspe: 0.0693 	 ks = 0.17 	 p_value = 0.000
Simulation: 114 	 ['00.70', '00.60', '00.11', '00.45', '00.15', '00.51', '01.00'] 	 rmspe: 0.0747 	 ks = 0.22 	 p_value = 0.000
Simulation: 115 	 ['00.60', '00.60', '00.11', '00.45', '00.40', '00.51', '01.00'] 	 rmspe: 0.0767 	 ks = 0.23 	 p_value = 0.000
Simulation: 116 	 ['00.80', '00.60', '00.11', '00.45', '00.70', '00.51', '01.00'] 	 rmspe: 0.0948 	 ks = 0.29 	 p_value = 0.000
Simulation: 117 	 ['00.70', '00.60', '00.01', '00.45', '00.40', '00.51', '01.00'] 	 rmspe: 0.1058 	 ks = 0.33 	 p_value = 0.000
Simulation: 118 	 ['00.70', '00.60', '00.06', '00.45', '00.40', '00.51', '01.00'] 	 rmspe: 0.0865 	 ks = 0.27 	 p_value = 0.000
Simulation: 119 	 ['01.60', '00.60', '00.11', '00.45', '00.70', '00.51', '01.00'] 	 rmspe: 0.1484 	 ks = 0.41 	 p_value = 0.000

Generation 4: Best Solution = ['00.20', '01.60', '00.11', '00.45', '00.70', '00.01', '01.00'], Fitness = 14.54, RMSPE =0.0688
Simulation: 120 	 ['00.60', '01.60', '00.11', '00.45', '00.70', '04.51', '01.00'] 	 rmspe: 0.4206 	 ks = 0.76 	 p_value = 0.000
Simulation: 121 	 ['00.70', '01.60', '00.11', '00.45', '00.70', '00.51', '00.00'] 	 rmspe: 0.1371 	 ks = 0.41 	 p_value = 0.000
Simulation: 122 	 ['00.70', '00.60', '00.11', '00.45', '00.40', '00.51', '01.00'] 	 rmspe: 0.0804 	 ks = 0.24 	 p_value = 0.000
Simulation: 123 	 ['00.20', '01.60', '00.11', '00.45', '00.40', '00.01', '00.00'] 	 rmspe: 0.0676 	 ks = 0.18 	 p_value = 0.000
Simulation: 124 	 ['00.20', '03.20', '00.11', '00.45', '00.15', '00.01', '01.00'] 	 rmspe: 0.0717 	 ks = 0.23 	 p_value = 0.000
Simulation: 125 	 ['00.70', '00.60', '00.11', '00.45', '00.70', '00.51', '01.00'] 	 rmspe: 0.0886 	 ks = 0.27 	 p_value = 0.000
Simulation: 126 	 ['00.60', '00.60', '00.11', '00.45', '00.70', '00.01', '01.00'] 	 rmspe: 0.0729 	 ks = 0.21 	 p_value = 0.000
Simulation: 127 	 ['00.70', '00.60', '00.11', '00.45', '00.70', '03.51', '01.00'] 	 rmspe: 0.4169 	 ks = 0.75 	 p_value = 0.000
Simulation: 128 	 ['00.60', '02.00', '00.11', '00.45', '00.15', '00.51', '01.00'] 	 rmspe: 0.0930 	 ks = 0.29 	 p_value = 0.000
Simulation: 129 	 ['00.60', '01.60', '00.11', '00.10', '00.40', '00.01', '01.00'] 	 rmspe: 0.1019 	 ks = 0.32 	 p_value = 0.000
